,0
0,0.002614861504395309
1,0.004930440493166715
2,0.003444276124878414
3,0.0045958320497993775
4,0.004002016677698443
5,0.002808263053108627
6,0.007795677339148682
7,0.0038600683304609454
8,0.0015989898113943726
9,0.006335400134076416
10,-0.007923794092953323
11,0.0024086322044362127
12,-0.008203996828218912
13,0.006692370582561895
14,0.0077833256636873375
15,-0.009155385061365396
16,-0.010295419270746353
17,-0.007468545487812517
18,0.006423670322352595
19,0.0036262446261383433
20,-0.0061163102170185505
21,0.0017357234858040194
22,0.0056552461747330675
23,-0.00865058897170559
24,0.0018642057511496287
25,0.0033063286187808975
26,0.0027404047232363073
27,0.004568570228700121
28,0.006241813826322078
29,0.0018220053402968593
30,0.0025314716739524034
31,0.002508385086927487
32,0.005894747626798554
33,0.0019740040381532845
34,0.007033379497470069
35,0.003432071069886093
36,0.0014864619519861118
37,0.004500721741641617
38,0.0006132883395719371
39,0.0035571034029960257
40,0.003476517263796994
41,0.0052706880766797875
42,-0.0024175186037050313
43,0.0005768876779242749
44,0.0029503650191736795
45,0.004061347382552598
46,-0.00563445348833524
47,0.007998579537641425
48,0.0032260071222111157
49,0.004456948656975478
50,0.004735130744792883
51,0.003983534747038395
52,-0.004119212216194868
53,0.0019966395290912362
54,0.0030976837430198045
55,0.0020763114318456915
56,0.0018959440003514971
57,-0.005039181139437851
58,0.004769536954296517
59,0.002413826058468372
60,-0.010598234784270522
61,0.0015449011789941626
62,0.005004366094275627
63,0.0044464298310188475
64,-0.0046541202631137195
65,0.00644159748395869
66,0.004284926581704762
67,0.004851476990904537
68,0.003036496810559846
69,0.0025793754150120625
70,0.004426083695203009
71,0.0011777417372978766
72,0.004906952194144293
73,0.0016251579580741104
74,-0.005386949683954428
75,0.007228101726860515
76,0.0026211176943456327
77,0.0037484662438438286
78,0.004494749090017313
79,0.004583232498499515
80,0.0075344583507477
81,0.004483652094547192
82,0.007185033501906428
83,0.0032287677191782382
84,9.1589830344848e-06
85,-0.006653032771765446
86,0.00839022521552054
87,0.0053867931547362516
88,-0.00932336731582817
89,0.005739640757679223
90,-0.0040355833978058375
91,-0.006437204253727379
92,0.004794141210552347
93,0.0015709414890495356
94,0.003019914829244593
95,0.005308773036901771
96,0.004341504196606042
97,0.0010063519066654328
98,-0.009304375480152343
99,0.006597975853200139
100,0.0054343462358095165
101,0.00562523941460414
102,0.0024962488950481332
103,0.000506903966111203
104,0.0027569541670370845
105,0.0076821082144076045
106,0.005978947022368215
107,0.0034875005001434667
108,0.006308359789957398
109,0.005098371033216862
110,0.004704587235755266
111,0.0021606311399842704
112,0.0035953398805585305
113,0.005917610297300266
114,0.005795255402423578
115,8.333497095227129e-05
116,0.004611778616315303
117,-0.00956428453114672
118,0.00665611303185646
119,0.0019709125071531966
120,0.0044710479444495166
121,0.000719464974890722
122,0.005350871461426337
123,0.0034888110205167945
124,0.00584566737617683
125,0.0056795205369039965
126,0.0026290556391835454
127,0.0033244312002674386
128,0.007910135931866537
